player,player_team,opposing_team,game_id,season,points,position,avg_points_position
Alen Omic,BUDUCNOST VOLI PODGORICA,REAL MADRID,E2018_028,2018,10,Forward,52.0
Aaron Craft,BUDUCNOST VOLI PODGORICA,REAL MADRID,E2018_028,2018,4,Forward,52.0
Nemanja Gordic,BUDUCNOST VOLI PODGORICA,REAL MADRID,E2018_028,2018,13,Forward,52.0
Coty Clarke,BUDUCNOST VOLI PODGORICA,REAL MADRID,E2018_028,2018,9,Forward,52.0
Suad Sehovic,BUDUCNOST VOLI PODGORICA,REAL MADRID,E2018_028,2018,0,Forward,52.0
Filip Barovic,BUDUCNOST VOLI PODGORICA,REAL MADRID,E2018_028,2018,4,Forward,52.0
Edwin Jackson,BUDUCNOST VOLI PODGORICA,REAL MADRID,E2018_028,2018,9,Forward,52.0
Earl Clark,BUDUCNOST VOLI PODGORICA,REAL MADRID,E2018_028,2018,0,Forward,52.0
Edgaras Ulanovas,ZALGIRIS KAUNAS,REAL MADRID,E2018_038,2018,10,Forward,52.75
Antanas Kavaliauskas,ZALGIRIS KAUNAS,REAL MADRID,E2018_038,2018,2,Forward,52.75
Aaron White,ZALGIRIS KAUNAS,REAL MADRID,E2018_038,2018,4,Forward,52.75
Paulius Jankunas,ZALGIRIS KAUNAS,REAL MADRID,E2018_038,2018,18,Forward,52.75
Johnny O'Bryant,MACCABI FOX TEL AVIV,REAL MADRID,E2018_042,2018,17,Forward,49.0
Angelo Caloiaro,MACCABI FOX TEL AVIV,REAL MADRID,E2018_042,2018,6,Forward,49.0
Kendrick Ray,MACCABI FOX TEL AVIV,REAL MADRID,E2018_042,2018,3,Forward,49.0
Deandre Kane,MACCABI FOX TEL AVIV,REAL MADRID,E2018_042,2018,8,Forward,49.0
Ramon Sessions,MACCABI FOX TEL AVIV,REAL MADRID,E2018_042,2018,11,Forward,49.0
Jake Cohen,MACCABI FOX TEL AVIV,REAL MADRID,E2018_042,2018,2,Forward,49.0
