player,game_id,Last_2_Avg_minutes,Last_2_Avg_points,Last_2_Avg_two_points_made,Last_2_Avg_two_points_attempted,Last_2_Avg_three_points_made,Last_2_Avg_three_points_attempted,Last_2_Avg_free_throws_made,Last_2_Avg_free_throws_attempted,Last_2_Avg_offensive_rebounds,Last_2_Avg_defensive_rebounds,Last_2_Avg_total_rebounds,Last_2_Avg_assists,Last_2_Avg_steals,Last_2_Avg_turnovers,Last_2_Avg_blocks_favour,Last_2_Avg_blocks_against,Last_2_Avg_fouls_committed,Last_2_Avg_fouls_received,Last_2_Avg_valuation,Last_2_Avg_ts%
Tibor Pleiss,E2019_165,20.058333333333334,14.0,6.0,7.5,0.0,0.5,2.0,2.0,3.0,4.5,7.5,1.0,0.0,1.0,1.0,0.0,0.5,1.5,21.5,0.7984134486939722
Andrey Vorontsevich,E2019_163,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
James Anderson,E2019_165,12.741666666666667,3.0,0.0,0.5,1.0,2.0,0.0,0.0,0.5,1.0,1.5,0.0,0.0,0.0,0.0,0.0,1.0,0.5,2.5,0.625
Krunoslav Simon,E2019_165,24.825,10.0,3.0,6.0,1.0,1.5,1.0,1.5,1.0,1.5,2.5,2.0,0.0,0.5,0.5,1.0,2.5,1.5,8.5,0.6609442060085837
Amedeo Valle Della,E2019_165,,,,,,,,,,,,,,,,,,,,
Vladimir Micov,E2019_165,26.766666666666666,12.0,4.0,7.0,0.5,3.5,2.5,2.5,2.0,2.0,4.0,3.0,2.0,0.0,0.0,0.0,2.0,4.0,17.0,0.5138703208556149
Paul Biligha,E2019_165,16.783333333333335,5.0,2.0,3.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,7.0,0.6443298969072165
Arturas Gudaitis,E2019_165,25.3,13.0,4.0,6.0,0.0,0.0,5.0,5.0,6.0,5.0,11.0,0.0,3.0,1.0,1.0,0.0,3.0,6.0,28.0,0.7926829268292683
Malcom Thomas,E2019_166,,,,,,,,,,,,,,,,,,,,
Kostas Papanikolaou,E2019_167,24.583333333333332,12.0,2.0,3.0,2.0,2.0,2.0,2.0,0.0,4.0,4.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,13.0,1.0204081632653061
